Title,Homepage,Overview,Link
Run Lola Run,,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.",https://www.themoviedb.org/movie/104-lola-rennt/watch?locale=US
Batman Returns,,"While Batman deals with a deformed man calling himself the Penguin, an employee of a corrupt businessman transforms into the Catwoman.",https://www.themoviedb.org/movie/364-batman-returns/watch?locale=US
X-Men: The Last Stand,https://www.20thcenturystudios.com/movies/x-men-the-last-stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men—led by Professor Charles Xavier—and the Brotherhood, a band of powerful mutants organised under Xavier's former ally, Magneto.",https://www.themoviedb.org/movie/36668-x-men-the-last-stand/watch?locale=US
A Single Man,,"The life of George Falconer, a British college professor, is reeling with the recent and sudden loss of his longtime partner. This traumatic event makes George challenge his own will to live as he seeks the console of his close girl friend Charley, who is struggling with her own questions about life.",https://www.themoviedb.org/movie/34653-a-single-man/watch?locale=US
City Slickers II: The Legend of Curly's Gold,,"Mitch Robbins 40th birthday begins quite well until he returns home and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil and unfortunately Glen he tries to find the hidden gold of Curly's father in the desert of Arizona.",https://www.themoviedb.org/movie/11310-city-slickers-ii-the-legend-of-curly-s-gold/watch?locale=US
