created_at,full_text,source,lang
Tue Nov 16 15:22:51 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:22:37 +0000 2021,@amazon I’m gonna shop white Friday this year.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:22:25 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:22:15 +0000 2021,"RT @ReubenECooperJ1: @amazon YOU MUST SHARE YOURSELF ALSO, DAILY, WITH WHAT YOUR INVOLVED WITH","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:22:14 +0000 2021,"@laurenlaverne @BBC6Music Grapefruit: Auric Field, Auric Shield, Millionaire Business: The empire of the world was supposed to let you know ... Path 67 page 200  @amazon  Tellispectragence","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:22:04 +0000 2021,"@AmazonHelp No options were  given, they simply gave up.  I am not mad, its matter ignorance as if they can't do anything. Then u pls tell venkat whom to approach. @amazon @JeffBezos","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:21:56 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:21:46 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:21:43 +0000 2021,HEAVY METAL NEVER DIES - LIVE IN TOKYO 2021(Blu-ray) https://t.co/cflQaYJ4Ry @amazonより,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:21:42 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
