Title,Homepage,Overview,Link
Django Unchained,http://www.unchainedmovie.com,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",https://www.themoviedb.org/movie/68718-django-unchained/watch?locale=US
The Deer Hunter,,"A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",https://www.themoviedb.org/movie/11778-the-deer-hunter/watch?locale=US
The Avengers,https://www.marvel.com/movies/the-avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",https://www.themoviedb.org/movie/24428-the-avengers/watch?locale=US
Twelve Monkeys,,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",https://www.themoviedb.org/movie/63-twelve-monkeys/watch?locale=US
Naked Gun 33⅓: The Final Insult,,"Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he has to find out what top terrorist, Rocco, has planned for when he escapes. Adding to his problems, Frank's wife, Jane, is desperate for a baby.",https://www.themoviedb.org/movie/36593-naked-gun-33-the-final-insult/watch?locale=US
