Title,Homepage,Overview,Link
Mrs. Doubtfire,,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as a British nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",https://www.themoviedb.org/movie/788-mrs-doubtfire/watch?locale=US
She's All That,,"High school hotshot Zach Siler is the envy of his peers. But his popularity declines sharply when his cheerleader girlfriend, Taylor, leaves him for sleazy reality-television star Brock Hudson. Desperate to revive his fading reputation, Siler agrees to a seemingly impossible challenge. He has six weeks to gain the trust of nerdy outcast Laney Boggs -- and help her to become the school's next prom queen.",https://www.themoviedb.org/movie/10314-she-s-all-that/watch?locale=US
American History X,,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",https://www.themoviedb.org/movie/73-american-history-x/watch?locale=US
Money Talks,,"Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",https://www.themoviedb.org/movie/9416-money-talks/watch?locale=US
Signs,,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,https://www.themoviedb.org/movie/2675-signs/watch?locale=US
